ISBN,Title,Author,Genre,Year,Price,Rating
9780000000001,Pride and Prejudice,Jane Austen,Romance,1813,12.99,4.8
9780000000002,Sense and Sensibility,Jane Austen,Romance,1811,11.99,4.6
9780000000003,Emma,Jane Austen,Romance,1815,13.99,4.5
9780000000004,The Adventures of Tom Sawyer,Mark Twain,Adventure,1876,11.99,4.5
9780000000005,Adventures of Huckleberry Finn,Mark Twain,Adventure,1884,12.99,4.7
9780000000006,A Connecticut Yankee in King Arthurs Court,Mark Twain,Satire,1889,13.99,4.2
9780000000007,War and Peace,Leo Tolstoy,Historical,1869,18.99,4.8
9780000000008,Anna Karenina,Leo Tolstoy,Romance,1878,17.99,4.7
9780000000009,Crime and Punishment,Fyodor Dostoevsky,Fiction,1866,15.99,4.8
9780000000010,The Brothers Karamazov,Fyodor Dostoevsky,Fiction,1880,18.99,4.9
9780000000011,Les Miserables,Victor Hugo,Historical,1862,17.99,4.8
9780000000012,Dracula,Bram Stoker,Horror,1897,12.99,4.7
9780000000013,Frankenstein,Mary Shelley,Horror,1818,11.99,4.6
9780000000014,Wuthering Heights,Emily Bronte,Gothic,1847,12.99,4.5
9780000000015,Jane Eyre,Charlotte Bronte,Romance,1847,13.99,4.8
9780000000016,The Tenant of Wildfell Hall,Anne Bronte,Romance,1848,12.49,4.4
9780000000017,The Picture of Dorian Gray,Oscar Wilde,Gothic,1890,11.99,4.7
9780000000018,The Time Machine,H G Wells,Science Fiction,1895,10.99,4.5
9780000000019,Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,Horror,1886,10.99,4.6
9780000000020,Heart of Darkness,Joseph Conrad,Fiction,1899,11.99,4.1
